value,group
2.410958904,control
2.593607306,control
2.95890411,control
3.9695586,control
4.091324201,control
4.213089802,control
4.529680365,control
4.651445967,control
5.540334855,control
5.722983257,control
3.141552511,0.1 PPM
3.348554033,0.1 PPM
3.95738204,0.1 PPM
4.529680365,0.1 PPM
4.614916286,0.1 PPM
4.444444444,0.1 PPM
4.821917808,0.1 PPM
4.712328767,0.1 PPM
4.663622527,0.1 PPM
2.715372907,1 PPM
3.531202435,2 PPM
3.543378995,3 PPM
4.663622527,4 PPM
4.639269406,5 PPM
4.687975647,6 PPM
4.98021309,7 PPM
4.96803653,8 PPM
4.809741248,9 PPM
5.430745814,10 PPM
6.319634703,11 PPM
